OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,439716600.0,406627200.0,105704100.0,482865300.0,646590600.0,1222435800.0
1,3,9592325100.0,1940681700.0,1060885800.0,14928450300.0,10980873900.0,12311527500.0
2,4,2740833000.0,854762400.0,43968600.0,848314800.0,39711600.0,155580300.0
3,5,123579000.0,22965300.0,34983900.0,280450800.0,351119700.0,663808500.0
4,6,39143700.0,7752600.0,5257800.0,76836600.0,53117100.0,228289500.0
5,7,1769400.0,49500.0,14400.0,17483400.0,1626300.0,3438900.0
6,11,1071605700.0,3515148000.0,655742700.0,407443500.0,12032100.0,43923600.0
7,12,697644000.0,1558956600.0,1495827900.0,1131794100.0,2027934000.0,203993100.0
8,13,204092100.0,144614700.0,283168800.0,1896323400.0,7587718200.0,1608633900.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,77772600.0,24505200.0,4320900.0,100996200.0,233656200.0,1217277000.0
