OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,455885100.0,402421500.0,103959000.0,539551800.0,653400900.0,1234858500.0
1,3,9361749600.0,1656928800.0,887299200.0,14510758500.0,10307734200.0,12168649800.0
2,4,2854962000.0,836501400.0,52461000.0,861568200.0,50574600.0,162000900.0
3,5,124199100.0,23815800.0,34191900.0,278899200.0,345845700.0,660928500.0
4,6,44647200.0,13791600.0,8652600.0,93150900.0,82548000.0,235635300.0
5,7,1124100.0,56700.0,16200.0,14946300.0,1542600.0,4089600.0
6,11,1217868300.0,3984921900.0,742851000.0,412864200.0,7992900.0,48475800.0
7,12,623775600.0,1450616400.0,1538063100.0,1034472600.0,2480868900.0,279026100.0
8,13,244064700.0,88066800.0,321176700.0,2310690600.0,7769466900.0,1752750900.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,60209100.0,18942300.0,1204200.0,114057000.0,234477900.0,1112499000.0
