OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,414961200.0,391988700.0,115593300.0,439101900.0,589248000.0,1084329900.0
1,3,9965508300.0,2124099000.0,1113948900.0,15029722800.0,11277555300.0,12818853900.0
2,4,2734455600.0,844516800.0,47770200.0,847833300.0,62247600.0,163471500.0
3,5,123767100.0,23683500.0,34180200.0,282696300.0,350089200.0,688496400.0
4,6,46122300.0,9652500.0,5878800.0,84267900.0,75537900.0,241347600.0
5,7,1403100.0,164700.0,44100.0,6189300.0,862200.0,1775700.0
6,11,785997900.0,3439441800.0,584612100.0,367353900.0,24426000.0,48555000.0
7,12,713538000.0,1510624800.0,1515215700.0,1027412100.0,2056441500.0,258684300.0
8,13,192313800.0,126147600.0,272221200.0,2014776900.0,7308622800.0,1631753100.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,10417500.0,5743800.0,410400.0,71604900.0,189422100.0,721643400.0
