OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1412586900.0,750522600.0,1136589300.0,93431700.0
1,3,30998526300.0,10201869900.0,6937806600.0,762984000.0
2,4,866444400.0,2996921700.0,14024700.0,941187600.0
3,5,578224800.0,127843200.0,720353700.0,43142400.0
4,6,147285900.0,69758100.0,260838900.0,1808100.0
5,7,19046700.0,860400.0,1574100.0,297900.0
6,11,178212600.0,5330864700.0,36779400.0,858687300.0
7,12,2400561000.0,4458261600.0,334814400.0,978300.0
8,13,11424914100.0,369022500.0,770579100.0,0.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,592083000.0,4938300.0,1047122100.0,0.0
