OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1401479100.0,748578600.0,1151335800.0,94017600.0
1,3,31712580000.0,10437455700.0,7039010700.0,820159200.0
2,4,831661200.0,2938671000.0,8506800.0,893292300.0
3,5,586477800.0,132599700.0,730100700.0,42113700.0
4,6,143099100.0,80979300.0,262456200.0,1096200.0
5,7,19664100.0,1082700.0,1092600.0,1074600.0
6,11,174006900.0,5428285200.0,45717300.0,848534400.0
7,12,2249208900.0,4274743500.0,249237900.0,2229300.0
8,13,10991871000.0,263928600.0,786261600.0,0.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,507837600.0,4538700.0,986761800.0,0.0
