OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,448254000.0,405323100.0,104211900.0,515853000.0,668504700.0,1251983700.0
1,3,9451683000.0,1748797200.0,964225800.0,14773507200.0,10705850100.0,12386368800.0
2,4,2788746300.0,795704400.0,46377900.0,843291900.0,49057200.0,148656600.0
3,5,128586600.0,23541300.0,35484300.0,280496700.0,347906700.0,673342200.0
4,6,38916900.0,8847900.0,6584400.0,103203000.0,92178900.0,237536100.0
5,7,1935900.0,96300.0,1800.0,14356800.0,1251000.0,5280300.0
6,11,1292460300.0,4006916100.0,764192700.0,394945200.0,22472100.0,29124000.0
7,12,629905500.0,1308665700.0,1504212300.0,1019316600.0,2227217400.0,199688400.0
8,13,163638000.0,158701500.0,263095200.0,2124090900.0,7598039400.0,1713933000.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,44358300.0,19469700.0,1488600.0,101898000.0,221974200.0,1013001300.0
