OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1301300100.0,743995800.0,1103940900.0,96489000.0
1,3,30035240100.0,9629119800.0,6674468400.0,756585900.0
2,4,816981300.0,2931917400.0,15579900.0,883509300.0
3,5,608839200.0,137496600.0,740908800.0,42876900.0
4,6,177292800.0,96520500.0,271903500.0,2907000.0
5,7,23931000.0,2281500.0,2386800.0,1244700.0
6,11,111741300.0,5732852400.0,25639200.0,898868700.0
7,12,2617997400.0,4805920800.0,315426600.0,20011500.0
8,13,12214057500.0,224162100.0,970033500.0,24300.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,710503200.0,6596100.0,1140194700.0,0.0
