OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,466626600.0,442485900.0,124002900.0,545877000.0,714375900.0,1224427500.0
1,3,9803548800.0,2104741800.0,1056706200.0,14882533200.0,10884589200.0,12676419000.0
2,4,2796669900.0,839395800.0,50330700.0,880125300.0,55689300.0,163269000.0
3,5,126439200.0,23979600.0,35444700.0,279777600.0,351954000.0,671226300.0
4,6,40356000.0,10288800.0,7205400.0,100715400.0,89522100.0,261905400.0
5,7,2904300.0,72000.0,32400.0,16041600.0,1370700.0,2931300.0
6,11,929137500.0,3643958700.0,701662500.0,389061000.0,26446500.0,94005000.0
7,12,602434800.0,1355724900.0,1566129600.0,1092286800.0,2675664900.0,401868900.0
8,13,171999000.0,48237300.0,147247200.0,1897364700.0,6915694500.0,1473563700.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,34588800.0,4908600.0,1113300.0,83651400.0,219132900.0,688950000.0
