OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1412843400.0,750708900.0,1133068500.0,93456000.0
1,3,30999707100.0,10202081400.0,6928046100.0,763285500.0
2,4,866505600.0,2996840700.0,13530600.0,941191200.0
3,5,577898100.0,127713600.0,719129700.0,43138800.0
4,6,147180600.0,69813000.0,259623000.0,1809000.0
5,7,19045800.0,861300.0,1570500.0,297900.0
6,11,201465900.0,5309067600.0,46200600.0,858240000.0
7,12,2508010200.0,4475812500.0,422040600.0,959400.0
8,13,11374398900.0,366490800.0,745326900.0,0.0
9,14,1813910400.0,181757700.0,4875149700.0,742500.0
10,15,571603500.0,4882500.0,964903500.0,0.0
