OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1345124700.0,742733100.0,1123029900.0,93051900.0
1,3,32123550600.0,10862969400.0,6939179100.0,889045200.0
2,4,811627200.0,2956980600.0,12888000.0,901674900.0
3,5,581370300.0,131290200.0,722527200.0,41719500.0
4,6,105063300.0,54990000.0,249625800.0,718200.0
5,7,20299500.0,1360800.0,1318500.0,1403100.0
6,11,238582800.0,4644766800.0,51276600.0,771269400.0
7,12,2163174300.0,4594234500.0,355246200.0,3494700.0
8,13,10717729200.0,309730500.0,697091400.0,0.0
9,14,1813910400.0,181757700.0,4875149700.0,742500.0
10,15,572124600.0,5216400.0,1081186200.0,900.0
