OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1389998700.0,858506400.0,1199739600.0,94276800.0
1,3,32873007600.0,10921456800.0,7644548700.0,876693600.0
2,4,818341200.0,2890669500.0,27864000.0,931779900.0
3,5,586183500.0,134017200.0,738081900.0,42246000.0
4,6,126379800.0,65777400.0,282330900.0,1650600.0
5,7,7912800.0,573300.0,1017000.0,618300.0
6,11,164385900.0,4741660800.0,100775700.0,736385400.0
7,12,2735653500.0,4468106700.0,377015400.0,16630200.0
8,13,9787053600.0,206337600.0,513407700.0,0.0
9,14,1813910400.0,181757700.0,4875149700.0,742500.0
10,15,184677300.0,4411800.0,348642000.0,0.0
