OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,452184300.0,404153100.0,102343500.0,523764000.0,652944600.0,1225152900.0
1,3,9373833900.0,1586379600.0,856320300.0,14510859300.0,9924998400.0,12034920600.0
2,4,2811200400.0,830850300.0,49448700.0,779112000.0,40904100.0,121685400.0
3,5,130374000.0,24298200.0,34925400.0,286623900.0,352866600.0,677293200.0
4,6,43612200.0,12083400.0,6831000.0,114434100.0,89654400.0,206340300.0
5,7,1243800.0,42300.0,46800.0,10839600.0,1233900.0,3159000.0
6,11,1170325800.0,3991509000.0,748527300.0,399987000.0,8331300.0,37318500.0
7,12,729911700.0,1414418400.0,1557819000.0,1135889100.0,2616256800.0,267014700.0
8,13,205480800.0,189558900.0,331927200.0,2264870700.0,7992092700.0,1858145400.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,70317900.0,22770000.0,1685700.0,144579600.0,255159000.0,1227884400.0
