OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,416106900.0,485547300.0,151856100.0,461039400.0,690332400.0,1337639400.0
1,3,9563275800.0,1959921000.0,1102462200.0,15198122700.0,11346700500.0,13145224500.0
2,4,2740725900.0,860315400.0,50477400.0,803463300.0,51902100.0,161770500.0
3,5,124864200.0,23726700.0,35000100.0,283719600.0,350314200.0,682903800.0
4,6,33158700.0,9839700.0,4688100.0,79538400.0,81288900.0,267624900.0
5,7,1506600.0,64800.0,18000.0,5255100.0,1256400.0,2020500.0
6,11,1215558000.0,3399457500.0,673179300.0,335652300.0,7268400.0,112092300.0
7,12,766970100.0,1648507500.0,1444188600.0,1183623300.0,2338794900.0,215321400.0
8,13,98684100.0,78309900.0,225630000.0,1762444800.0,6942420900.0,1399309200.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,13851000.0,8103600.0,2375100.0,54575100.0,124161300.0,334665000.0
