OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1383994800.0,752574600.0,1133307000.0,90666000.0
1,3,30642577200.0,10089007200.0,6805104300.0,750623400.0
2,4,722975400.0,2968200900.0,13932000.0,928092600.0
3,5,595401300.0,133723800.0,733781700.0,43474500.0
4,6,150956100.0,88038900.0,232119000.0,1841400.0
5,7,14926500.0,144900.0,942300.0,551700.0
6,11,253221300.0,5170787100.0,65365200.0,866625300.0
7,12,2683165500.0,4629233700.0,388407600.0,20502900.0
8,13,11557480500.0,467897400.0,816697800.0,0.0
9,14,1813910400.0,181757700.0,4875149700.0,742500.0
10,15,673960500.0,4663800.0,1043772300.0,0.0
