OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1764303300.0,982857600.0,1324706400.0,104633100.0
1,3,33480445500.0,12148548300.0,7644125700.0,1044608400.0
2,4,938504700.0,3043174500.0,52722000.0,921897000.0
3,5,589143600.0,130717800.0,737801100.0,42636600.0
4,6,303334200.0,103570200.0,487620000.0,1075500.0
5,7,15363900.0,316800.0,719100.0,1270800.0
6,11,234361800.0,4502133000.0,209001600.0,583461900.0
7,12,2863628100.0,3203834400.0,370650600.0,697500.0
8,13,8452785600.0,176076900.0,319078800.0,0.0
9,14,1813910400.0,181757700.0,4875149700.0,742500.0
10,15,31726800.0,288000.0,86997600.0,0.0
