OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1287130500.0,718812000.0,1126723500.0,91181700.0
1,3,31840799400.0,10994228100.0,6853673700.0,951062400.0
2,4,811236600.0,2966533200.0,14025600.0,882684900.0
3,5,584851500.0,133713000.0,732303000.0,41726700.0
4,6,100717200.0,39852000.0,254373300.0,1703700.0
5,7,19466100.0,633600.0,1344600.0,891000.0
6,11,231896700.0,3280149000.0,55724400.0,304018200.0
7,12,2946028500.0,5832724500.0,403643700.0,428807700.0
8,13,10012855500.0,338697000.0,577476900.0,441000.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,782903700.0,5520600.0,1241190000.0,0.0
