OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1358601300.0,748027800.0,1047673800.0,82767600.0
1,3,30453010200.0,10201617000.0,6750927900.0,849975300.0
2,4,604529100.0,2496129300.0,11387700.0,818001900.0
3,5,604073700.0,136635300.0,739725300.0,44796600.0
4,6,191817000.0,129481200.0,278644500.0,4000500.0
5,7,15821100.0,1398600.0,3088800.0,817200.0
6,11,228742200.0,5342084100.0,32211900.0,862141500.0
7,12,2433822300.0,4956362100.0,535083300.0,40008600.0
8,13,11999197800.0,292485600.0,701465400.0,0.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,728271000.0,6641100.0,1160273700.0,0.0
