OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1414960200.0,760846500.0,1159830000.0,91192500.0
1,3,30526340400.0,9755808300.0,6898789800.0,778011300.0
2,4,729843300.0,2987290800.0,9139500.0,909813600.0
3,5,613080900.0,133271100.0,731593800.0,42521400.0
4,6,137324700.0,71277300.0,242449200.0,1583100.0
5,7,18972900.0,462600.0,1425600.0,1083600.0
6,11,181353600.0,3860211600.0,37885500.0,252341100.0
7,12,2256319800.0,6280536600.0,350921700.0,625944600.0
8,13,12111650100.0,456614100.0,745659000.0,26100.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,628035300.0,4544100.0,1082788200.0,0.0
