OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,440102700.0,398732400.0,97504200.0,474882300.0,602192700.0,1209711600.0
1,3,9551552400.0,2058337800.0,1074774600.0,14839932600.0,11023388100.0,12147242400.0
2,4,2765859300.0,835625700.0,45414900.0,836585100.0,44517600.0,146819700.0
3,5,126722700.0,24107400.0,34449300.0,280772100.0,351936900.0,672080400.0
4,6,36992700.0,7738200.0,5251500.0,58724100.0,50724900.0,236771100.0
5,7,1812600.0,44100.0,0.0,15823800.0,1111500.0,3546000.0
6,11,645696900.0,2279456100.0,622551600.0,292681800.0,13538700.0,57188700.0
7,12,1126636200.0,2780180100.0,1573108200.0,1281537900.0,2626082100.0,244195200.0
8,13,182197800.0,70695000.0,233928000.0,1898188200.0,6970588200.0,1552162500.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,110911500.0,21146400.0,2892600.0,191831400.0,250371900.0,1389193200.0
