OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1401778800.0,740601000.0,1124739000.0,92570400.0
1,3,31803123600.0,10665472500.0,7025060700.0,843288300.0
2,4,876788100.0,2996001900.0,8344800.0,909314100.0
3,5,584417700.0,128104200.0,725401800.0,41193000.0
4,6,165837600.0,88211700.0,261629100.0,1091700.0
5,7,22118400.0,975600.0,1635300.0,1955700.0
6,11,183555000.0,4977844200.0,62056800.0,810374400.0
7,12,2406874500.0,4482012600.0,301713300.0,2729700.0
8,13,10694899800.0,226669500.0,695869200.0,0.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,478492200.0,4969800.0,1054031400.0,0.0
