OID,VALUE,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6
0,1,442827000.0,403476300.0,105288300.0,512027100.0,665049600.0,1229945400.0
1,3,9595048500.0,1834572600.0,991237500.0,14794022700.0,10788419700.0,12377026800.0
2,4,2816596800.0,833059800.0,48672000.0,881519400.0,56573100.0,154228500.0
3,5,122199300.0,22382100.0,34317900.0,281043900.0,351315900.0,666308700.0
4,6,38740500.0,11710800.0,8553600.0,112204800.0,107299800.0,237953700.0
5,7,3432600.0,168300.0,9900.0,15758100.0,2289600.0,5021100.0
6,11,1116519300.0,3770155800.0,746748900.0,376137900.0,13174200.0,46613700.0
7,12,615091500.0,1511384400.0,1548032400.0,1056820500.0,2328027300.0,254393100.0
8,13,184741200.0,70700400.0,205705800.0,2054354400.0,7398908100.0,1628411400.0
9,14,99474300.0,134424000.0,13662000.0,227003400.0,1817811900.0,4579184700.0
10,15,53288100.0,18452700.0,1308600.0,87070500.0,223395300.0,1059011100.0
