OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1383799500.0,752692500.0,1137500100.0,90643500.0
1,3,30642439500.0,10088790300.0,6812481600.0,750334500.0
2,4,722944800.0,2968250400.0,13681800.0,928092600.0
3,5,595727100.0,133874100.0,735256800.0,43478100.0
4,6,151272000.0,88031700.0,234105300.0,1841400.0
5,7,14925600.0,144900.0,943200.0,551700.0
6,11,204113700.0,5189818500.0,56159100.0,867058200.0
7,12,2647498500.0,4616280000.0,299204100.0,20517300.0
8,13,11561283900.0,468255600.0,842487300.0,0.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,693881100.0,4725000.0,1128652200.0,0.0
