OID,VALUE,COLUMBIA_P,PALOUSE_AN,COLUMBIA_B,NORTHERN_R
0,1,1343862900.0,742504500.0,1125219600.0,93034800.0
1,3,32088557700.0,10861719300.0,6914756700.0,888708600.0
2,4,811364400.0,2957134500.0,12088800.0,901677600.0
3,5,581761800.0,131410800.0,723931200.0,41721300.0
4,6,104842800.0,55001700.0,249533100.0,718200.0
5,7,20300400.0,1357200.0,1321200.0,1403100.0
6,11,208846800.0,4649628600.0,35004600.0,771758100.0
7,12,2166862500.0,4597711200.0,326619900.0,3494700.0
8,13,10702950300.0,309111300.0,717023700.0,0.0
9,14,1874673000.0,175166100.0,4848107400.0,603000.0
10,15,588523500.0,5283900.0,1154914200.0,900.0
