,Year,AEC class,Winter Wheat,Spring Wheat,Barley,Lentils,Peas,Dry Beans,Canola,Fallow,Alfalfa,Potatoes,Corn,AEC area
40,2015,Annual,2312134200.0,1173196800.0,278653500.0,335972700.0,434001600.0,521468100.0,75148200.0,152158500.0,358176600.0,0.0,0.0,6415922700.0
41,2015,Transition,2642157000.0,1404035100.0,210004200.0,15614100.0,206971200.0,47923200.0,29214900.0,1979718300.0,537877800.0,0.0,0.0,7406981100.0
42,2015,Grain-Fallow,5347706400.0,412551000.0,50901300.0,176400.0,21755700.0,2829600.0,32985900.0,6289452000.0,154879200.0,0.0,0.0,12486250800.0
43,2015,Irrigated,825015600.0,351912600.0,21864600.0,36000.0,193538700.0,228808800.0,18248400.0,298055700.0,1345383000.0,758675700.0,755320500.0,6871610700.0
44,2015,Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541418300.0
45,2016,Annual,2198045700.0,935609400.0,254472300.0,389301300.0,338823900.0,691023600.0,59559300.0,177948000.0,413470800.0,0.0,0.0,6356936700.0
46,2016,Transition,2830191300.0,1181749500.0,205388100.0,26992800.0,201256200.0,98509500.0,34971300.0,2081988000.0,559429200.0,0.0,0.0,7721514000.0
47,2016,Grain-Fallow,5355174600.0,484824600.0,52887600.0,63000.0,23431500.0,3105900.0,23989500.0,6434737200.0,170010900.0,0.0,0.0,12842111700.0
48,2016,Irrigated,887547600.0,262108800.0,19620000.0,72900.0,159620400.0,196035300.0,26653500.0,310345200.0,1367016300.0,798409800.0,893841300.0,6871610700.0
49,2016,Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722433500.0
