OID,VALUE,VALUE_1,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_27,VALUE_28,VALUE_31,VALUE_32,VALUE_33,VALUE_34,VALUE_36,VALUE_38,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_48,VALUE_49,VALUE_52,VALUE_53,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_63,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_87,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3059364600.0,852710400.0,258656400.0,24316200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41350639500.0,13036387500.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38369700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36477000.0,4888251000.0,7275600.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500965100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289613700.0,611380800.0
5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17694000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.0,0.0,174600.0,0.0,537751800.0,792731700.0,2614929300.0,2397600.0,164700.0,13818600.0,28335600.0,43200.0,34200.0,1343700.0,276911100.0,3600.0,0.0,287239500.0,0.0,309600.0,0.0,0.0,0.0,366207300.0,239602500.0,0.0,0.0,1060200.0,221143500.0,149441400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,0.0,0.0,1800.0,0.0,440430300.0,867155400.0,2918354400.0,683100.0,296100.0,9131400.0,17580600.0,9000.0,3600.0,14400.0,181469700.0,0.0,0.0,19422000.0,0.0,823500.0,0.0,0.0,0.0,11421900.0,100728900.0,0.0,0.0,37800.0,25515000.0,1717082100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,0.0,55136700.0,259879500.0,4124855700.0,1962900.0,18000.0,890100.0,1122300.0,5400.0,79200.0,0.0,43505100.0,0.0,0.0,2120400.0,0.0,538200.0,0.0,0.0,0.0,220500.0,7633800.0,0.0,0.0,2700.0,6117300.0,4406473800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,743650200.0,1492200.0,482400.0,258516900.0,21833100.0,256151700.0,907150500.0,3210300.0,6277500.0,6325200.0,18043200.0,318600.0,60300.0,0.0,1230687000.0,0.0,12299400.0,103508100.0,730785600.0,866700.0,43427700.0,2284200.0,96342300.0,75600.0,114122700.0,8005500.0,142348500.0,218700.0,236621700.0,135791100.0,10118700.0,7640100.0,1927800.0,0.0,607500.0,93600.0,8343000.0,232193700.0,38021400.0,1398600.0,120600.0,23400.0,5238900.0,7862400.0,780300.0,906352200.0,555014700.0,21402000.0,85245300.0
10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95823000.0,16203600.0,210600.0,7108200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
